fullname,countryCode,year,caloriesPerCap,landArea,totalPop,peoplePerSqKm
Bangladesh,BD,1987,2190,130170,9.81E+07,754.0083
Bangladesh,BD,1988,2252,130170,1.01E+08,774.2149
Bangladesh,BD,1989,2333,130170,1.03E+08,794.3502
Bangladesh,BD,1990,2222,130170,1.06E+08,814.1902
Bangladesh,BD,1991,2287,130170,1.09E+08,833.5997
Bangladesh,BD,1992,2328,130170,1.11E+08,852.6347
Bangladesh,BD,1993,2200,130170,1.13E+08,871.4938
Bangladesh,BD,1994,2251,130170,1.16E+08,890.4795
Bangladesh,BD,1995,2316,130170,1.18E+08,909.7931
Bangladesh,BD,1996,2320,130170,1.21E+08,929.4547
Bangladesh,BD,1997,2320,130170,1.24E+08,949.3286
Bangladesh,BD,1998,2303,130170,1.26E+08,969.2678
Bangladesh,BD,1999,2391,130170,1.29E+08,989.0626
Bangladesh,BD,2000,2318,130170,1.31E+08,1008.533
Bangladesh,BD,2001,2286,130170,1.34E+08,1027.703
Bangladesh,BD,2002,2284,130170,1.36E+08,1046.543
Bangladesh,BD,2003,2336,130170,1.39E+08,1064.763
Bangladesh,BD,2004,2272,130170,1.41E+08,1081.999
Bangladesh,BD,2005,2269,130170,1.43E+08,1098.026
Bangladesh,BD,2006,2320,130170,1.45E+08,1112.693
Bangladesh,BD,2007,2360,130170,1.47E+08,1126.163
Brazil,BR,1987,2627,8358140,1.42E+08,17.04177
Brazil,BR,1988,2624,8358140,1.45E+08,17.36636
Brazil,BR,1989,2611,8358140,1.48E+08,17.68358
Brazil,BR,1990,2571,8358140,1.50E+08,17.99361
Brazil,BR,1991,2630,8358140,1.53E+08,18.29556
Brazil,BR,1992,2657,8358140,1.55E+08,18.59014
Brazil,BR,1993,2665,8358140,1.58E+08,18.88126
Brazil,BR,1994,2695,8358140,1.60E+08,19.17418
Brazil,BR,1995,2703,8358140,1.63E+08,19.47264
Brazil,BR,1996,2716,8358140,1.65E+08,19.7775
Brazil,BR,1997,2724,8358140,1.68E+08,20.08747
Brazil,BR,1998,2723,8358140,1.71E+08,20.40125
Brazil,BR,1999,2750,8358140,1.73E+08,20.7167
Brazil,BR,2000,2775,8358140,1.76E+08,21.03177
Brazil,BR,2001,2771,8358140,1.78E+08,21.34678
Brazil,BR,2002,2751,8358140,1.81E+08,21.66099
Brazil,BR,2003,2844,8358140,1.84E+08,21.96988
Brazil,BR,2004,2856,8358140,1.86E+08,22.26768
Brazil,BR,2005,2868,8358140,1.88E+08,22.55038
Brazil,BR,2006,2868,8358140,1.91E+08,22.81587
Brazil,BR,2007,2882,8358140,1.93E+08,23.06548
China,CN,1987,2566,9388250,1.08E+09,115.4672
China,CN,1988,2554,9388250,1.10E+09,117.3414
China,CN,1989,2554,9388250,1.12E+09,119.1543
China,CN,1990,2638,9388250,1.14E+09,120.9155
China,CN,1991,2579,9388250,1.15E+09,122.5766
China,CN,1992,2604,9388250,1.16E+09,124.0881
China,CN,1993,2682,9388250,1.18E+09,125.5229
China,CN,1994,2744,9388250,1.19E+09,126.9496
China,CN,1995,2816,9388240,1.20E+09,128.3366
China,CN,1996,2813,9388230,1.22E+09,129.689
China,CN,1997,2859,9388230,1.23E+09,131.0231
China,CN,1998,2884,9388230,1.24E+09,132.2864
China,CN,1999,2873,9388230,1.25E+09,133.4368
China,CN,2000,2889,9388220,1.26E+09,134.4925
China,CN,2001,2895,9388214,1.27E+09,135.4731
China,CN,2002,2900,9388213,1.28E+09,136.3838
China,CN,2003,2887,9388213,1.29E+09,137.2359
China,CN,2004,2908,9388212,1.30E+09,138.0535
China,CN,2005,2940,9388212,1.30E+09,138.8678
China,CN,2006,2930,9388211,1.31E+09,139.6454
China,CN,2007,2941,9388211,1.32E+09,140.3766
Ethiopia,ET,1987,1938,1101000,4.35E+07,39.48249
Ethiopia,ET,1988,1946,1101000,4.49E+07,40.78901
Ethiopia,ET,1989,1926,1101000,4.64E+07,42.17403
Ethiopia,ET,1990,1892,1101000,4.81E+07,43.64859
Ethiopia,ET,1991,1885,1101000,4.98E+07,45.21797
Ethiopia,ET,1992,1847,1101000,5.16E+07,46.86901
Ethiopia,ET,1993,1834,1000000,5.35E+07,53.47794
Ethiopia,ET,1994,1854,1000000,5.54E+07,55.36652
Ethiopia,ET,1995,1872,1000000,5.72E+07,57.23722
Ethiopia,ET,1996,1882,1000000,5.91E+07,59.07642
Ethiopia,ET,1997,1885,1000000,6.09E+07,60.89326
Ethiopia,ET,1998,1911,1000000,6.27E+07,62.70755
Ethiopia,ET,1999,1925,1000000,6.46E+07,64.55016
Ethiopia,ET,2000,1938,1000000,6.64E+07,66.4436
Ethiopia,ET,2001,1952,1000000,6.84E+07,68.39313
Ethiopia,ET,2002,1964,1000000,7.04E+07,70.39117
Ethiopia,ET,2003,1963,1000000,7.24E+07,72.43229
Ethiopia,ET,2004,1977,1000000,7.45E+07,74.50697
Ethiopia,ET,2005,2002,1000000,7.66E+07,76.60843
Ethiopia,ET,2006,2026,1000000,7.87E+07,78.73567
Ethiopia,ET,2007,2036,1000000,8.09E+07,80.89197
Germany,DE,1987,3423,349130,7.78E+07,222.954
Germany,DE,1988,3464,349130,7.81E+07,223.8267
Germany,DE,1989,3426,349130,7.88E+07,225.5643
Germany,DE,1990,3354,349130,7.94E+07,227.5171
Germany,DE,1991,3414,349130,8.00E+07,229.1808
Germany,DE,1992,3444,349130,8.06E+07,230.93
Germany,DE,1993,3362,349120,8.12E+07,232.4598
Germany,DE,1994,3347,349110,8.14E+07,233.2742
Germany,DE,1995,3380,349100,8.17E+07,233.9675
Germany,DE,1996,3412,349090,8.19E+07,234.6525
Germany,DE,1997,3362,349050,8.20E+07,235.023
Germany,DE,1998,3434,349020,8.20E+07,235.0788
Germany,DE,1999,3429,348980,8.21E+07,235.2577
Germany,DE,2000,3463,348950,8.22E+07,235.5968
Germany,DE,2001,3491,348900,8.23E+07,236.0273
Germany,DE,2002,3517,348860,8.25E+07,236.4516
Germany,DE,2003,3475,348810,8.25E+07,236.6164
Germany,DE,2004,3471,348770,8.25E+07,236.5922
Germany,DE,2005,3484,348760,8.25E+07,236.4647
Germany,DE,2006,3471,348720,8.24E+07,236.2252
Germany,DE,2007,3492,348670,8.23E+07,235.9433
India,IN,1987,2190,2973190,8.17E+08,274.8672
India,IN,1988,2252,2973190,8.35E+08,280.8244
India,IN,1989,2333,2973190,8.53E+08,286.8085
